epsilon_exact,epsilon,a_exact,c_exact,lambda_min_exact,loss_L,p_cert,p_cert_lower,p_cert_upper,p_rep,p_rep_lower,p_rep_upper,certified_width,certified_width_lower,certified_width_upper,theorem_applies,endpoint_kind,lower_p_endpoint_included,upper_p_endpoint_included,ensemble,exact_capacity_boundary
0,0,1,0,1/3,0,1,1.000000000000000000000000000000000000000000000000000000000000,1.000000000000000000000000000000000000000000000000000000000000,1,1.000000000000000000000000000000000000000000000000000000000000,1.000000000000000000000000000000000000000000000000000000000000,0,0.000000000000000000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000000000000000000,False,perfect_record_limit,False,False,equally_weighted_Pauli_axes,False
1/2000,0.0005,998001/1000000,1999/1000000,1/3,0.0024470423938973162,0.99750221205902610,0.997502212059026095192245570015556894138106191513548914128176,0.997502212059026095192245570015556894138106191513548914128177,0.99755893100541885,0.997558931005418852157663193226250338891211488726263971579180,0.997558931005418852157663193226250338891211488726263971579181,0.000056718946392756965,0.000056718946392756965417623210693444753105297212715057451003,0.000056718946392756965417623210693444753105297212715057451004,True,interior,True,False,equally_weighted_Pauli_axes,False
1/1000,0.001,249001/250000,999/250000,1/3,0.0048891986339238293,0.99502199071803319,0.995021990718033190867666739212761742229425170748786160941397,0.995021990718033190867666739212761742229425170748786160941398,0.99513458932530039,0.995134589325300390441898819076764473368981515165836116025419,0.995134589325300390441898819076764473368981515165836116025420,0.00011259860726719957,0.000112598607267199574232079864002731139556344417049955084021,0.000112598607267199574232079864002731139556344417049955084022,True,interior,True,False,equally_weighted_Pauli_axes,False
3/2000,0.0015,994009/1000000,5991/1000000,1/3,0.0073264814921505992,0.99255915381891015,0.992559153818910154114820238983650716049070230811184720877806,0.992559153818910154114820238983650716049070230811184720877807,0.99272680543323164,0.992726805433231639466357682017872766256582916456441883944564,0.992726805433231639466357682017872766256582916456441883944565,0.00016765161432148535,0.000167651614321485351537443034222050207512685645257163066757,0.000167651614321485351537443034222050207512685645257163066758,True,interior,True,False,equally_weighted_Pauli_axes,False
1/500,0.002,62001/62500,499/62500,1/3,0.0097589036825489579,0.99011352172646307,0.990113521726463070816557251713779769094356433355949843152831,0.990113521726463070816557251713779769094356433355949843152832,0.99033541209989965,0.990335412099899649509099913975650418608901363097643823367674,0.990335412099899649509099913975650418608901363097643823367675,0.00022189037343657869,0.000221890373436578692542662261870649514544929741693980214843,0.000221890373436578692542662261870649514544929741693980214844,True,interior,True,False,equally_weighted_Pauli_axes,False
1/400,0.0025,39601/40000,399/40000,1/3,0.012186477861330966,0.98768491728487046,0.987684917284870457749545625944642751190873784201623797703462,0.987684917284870457749545625944642751190873784201623797703463,0.98796024435430118,0.987960244354301177009806865222521794008940473894634405017098,0.987960244354301177009806865222521794008940473894634405017099,0.00027532706943071926,0.000275327069430719260261239277879042818066689693010607313635,0.000275327069430719260261239277879042818066689693010607313636,True,interior,True,False,equally_weighted_Pauli_axes,False
3/1000,0.003,247009/250000,2991/250000,1/3,0.014609216627287388,0.98527316577503746,0.985273165775037464340228748238046018937677304731459523150361,0.985273165775037464340228748238046018937677304731459523150362,0.98560113944573596,0.985601139445735959115415347610968760949411521571058093101794,0.985601139445735959115415347610968760949411521571058093101795,0.00032797367069849478,0.000327973670698494775186599372922742011734216839598569951433,0.000327973670698494775186599372922742011734216839598569951434,True,interior,True,False,equally_weighted_Pauli_axes,False
7/2000,0.0035,986049/1000000,13951/1000000,1/3,0.017027132522123200,0.98287809487282748,0.982878094872827484178915266280827839645136298742724554335643,0.982878094872827484178915266280827839645136298742724554335644,0.98325793680656518,0.983257936806565175870996807141434441504516302817603354187804,0.983257936806565175870996807141434441504516302817603354187805,0.00037984193373769169,0.000379841933737691692081540860606601859380004074878799852160,0.000379841933737691692081540860606601859380004074878799852161,True,interior,True,False,equally_weighted_Pauli_axes,False
1/250,0.004,15376/15625,249/15625,1/3,0.019440238030790667,0.98049953460815019,0.980499534608150186400067133645905053607096860116609238100488,0.980499534608150186400067133645905053607096860116609238100489,0.98093047801571719,0.980930478015717186136552710710966811828106134597624717358415,0.980930478015717186136552710710966811828106134597624717358416,0.00043094340756699974,0.000430943407566999736485577065061758221009274481015479257926,0.000430943407566999736485577065061758221009274481015479257927,True,interior,True,False,equally_weighted_Pauli_axes,False
9/2000,0.0045,982081/1000000,17919/1000000,1/3,0.021848545581819991,0.97813731732488555,0.978137317324885548957455262969592682133884401716811856051506,0.978137317324885548957455262969592682133884401716811856051507,0.97861860676292310,0.978618606762923101019501236453365409482914968666642605261121,0.978618606762923101019501236453365409482914968666642605261122,0.00048128943803755206,0.000481289438037552062045973483772727349030566949830749209614,0.000481289438037552062045973483772727349030566949830749209615,True,interior,True,False,equally_weighted_Pauli_axes,False
1/200,0.005,9801/10000,199/10000,1/3,0.024252067547647565,0.97579127764162403,0.975791277641624030271584257698587167277900927742025348784301,0.975791277641624030271584257698587167277900927742025348784302,0.97632216881366522,0.976322168813665222037853125566634878186211547286934737558734,0.976322168813665222037853125566634878186211547286934737558735,0.00053089117204119177,0.000530891172041191766268867868047710908310619544909388774433,0.000530891172041191766268867868047710908310619544909388774434,True,interior,True,False,equally_weighted_Pauli_axes,False
11/2000,0.0055,978121/1000000,21879/1000000,1/3,0.026650816244941849,0.97346125241320355,0.973461252413203553294707547895947707099693089352999190252117,0.973461252413203553294707547895947707099693089352999190252118,0.97404101197482182,0.974041011974821820843400683358025785277481232459481375681766,0.974041011974821820843400683358025785277481232459481375681767,0.00057975956161826755,0.000579759561618267548693135462078078177788143106482185429648,0.000579759561618267548693135462078078177788143106482185429649,True,interior,True,False,equally_weighted_Pauli_axes,False
