lambda_exact,lambda_min,epsilon_exact,p_one_use_exact_rational,p_one_use,p_one_use_lower,p_one_use_upper,p_rep,p_rep_lower,p_rep_upper,gap,gap_lower,gap_upper,asymptote_slope_exact,linear_asymptote,linear_asymptote_lower,linear_asymptote_upper,exact_one_use_domain,geometry,full_span,all_code_capacity_boundary
0,0,1/10,25/34,0.73529411764705882,0.735294117647058823529411764705882352941176470588235294117647,0.735294117647058823529411764705882352941176470588235294117648,0.73529411764705882,0.735294117647058823529411764705882352941176470588235294117647,0.735294117647058823529411764705882352941176470588235294117648,0,0.000000000000000000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000000000000000000,18/289,0,0.000000000000000000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000000000000000000,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,False,False
1/2000,0.0005,1/10,3124/4249,0.73523181925158861,0.735231819251588609084490468345493057189927041656860437750058,0.735231819251588609084490468345493057189927041656860437750059,0.73526296962203180,0.735262969622031798787511577358647036681660278834237762727081,0.735262969622031798787511577358647036681660278834237762727082,0.000031150370443189703,0.000031150370443189703021109013153979491733237177377324977022,0.000031150370443189703021109013153979491733237177377324977023,18/289,0.000031141868512110727,0.000031141868512110726643598615916955017301038062283737024221,0.000031141868512110726643598615916955017301038062283737024222,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
1/1000,0.001,1/10,347/472,0.73516949152542373,0.735169491525423728813559322033898305084745762711864406779661,0.735169491525423728813559322033898305084745762711864406779662,0.73523180927830735,0.735231809278307349560191554297313194816185607873084376638597,0.735231809278307349560191554297313194816185607873084376638598,0.000062317752883620747,0.000062317752883620746632232263414889731439845161219969858936,0.000062317752883620746632232263414889731439845161219969858937,18/289,0.000062283737024221453,0.000062283737024221453287197231833910034602076124567474048442,0.000062283737024221453287197231833910034602076124567474048443,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
3/2000,0.0015,1/10,3122/4247,0.73510713444784554,0.735107134447845538026842477042618318813279962326348010360254,0.735107134447845538026842477042618318813279962326348010360255,0.73520063660737775,0.735200636607377751159491521415405203668513519600189305769238,0.735200636607377751159491521415405203668513519600189305769239,0.000093502159532213133,0.000093502159532213132649044372786884855233557273841295408984,0.000093502159532213132649044372786884855233557273841295408985,18/289,0.000093425605536332180,0.000093425605536332179930795847750865051903114186851211072664,0.000093425605536332179930795847750865051903114186851211072665,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
1/500,0.002,1/10,3121/4246,0.73504474799811587,0.735044747998115873763542157324540744229863400847856806406029,0.735044747998115873763542157324540744229863400847856806406030,0.73516945160072683,0.735169451600726830117095565918498472902658648859909120721060,0.735169451600726830117095565918498472902658648859909120721061,0.00012470360261095635,0.000124703602610956353553408593957728672795248012052314315031,0.000124703602610956353553408593957728672795248012052314315032,18/289,0.00012456747404844291,0.000124567474048442906574394463667820069204152249134948096885,0.000124567474048442906574394463667820069204152249134948096886,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
1/400,0.0025,1/10,208/283,0.73498233215547703,0.734982332155477031802120141342756183745583038869257950530035,0.734982332155477031802120141342756183745583038869257950530036,0.73513825424982995,0.735138254249829953203520898059240146227207073282321128721349,0.735138254249829953203520898059240146227207073282321128721350,0.00015592209435292140,0.000155922094352921401400756716483962481624034413063178191314,0.000155922094352921401400756716483962481624034413063178191315,18/289,0.00015570934256055363,0.000155709342560553633217993079584775086505190311418685121107,0.000155709342560553633217993079584775086505190311418685121108,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
3/1000,0.003,1/10,3119/4244,0.73491988689915174,0.734919886899151743638077285579641847313854853911404335532516,0.734919886899151743638077285579641847313854853911404335532517,0.73510704454615402,0.735107044546154016429637552022370522579600461643000961823144,0.735107044546154016429637552022370522579600461643000961823145,0.00018715764700227279,0.000187157647002272791560266442728675265745607731596626290627,0.000187157647002272791560266442728675265745607731596626290628,18/289,0.00018685121107266436,0.000186851211072664359861591695501730103806228373702422145328,0.000186851211072664359861591695501730103806228373702422145329,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
7/2000,0.0035,1/10,3118/4243,0.73485741220834315,0.734857412208343153429177468772095215649304737214235210935658,0.734857412208343153429177468772095215649304737214235210935659,0.73507582248115743,0.735075822481157434030484992035897980006894571317679723916357,0.735075822481157434030484992035897980006894571317679723916358,0.00021841027281428060,0.000218410272814280601307523263802764357589834103444512980698,0.000218410272814280601307523263802764357589834103444512980699,18/289,0.00021799307958477509,0.000217993079584775086505190311418685121107266435986159169550,0.000217993079584775086505190311418685121107266435986159169551,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
1/250,0.004,1/10,1039/1414,0.73479490806223479,0.734794908062234794908062234794908062234794908062234794908062,0.734794908062234794908062234794908062234794908062234794908063,0.73504458804629013,0.735044588046290127431351613993302508379558254083622512161785,0.735044588046290127431351613993302508379558254083622512161786,0.00024967998405533252,0.000249679984055332523289379198394446144763346021387717253723,0.000249679984055332523289379198394446144763346021387717253724,18/289,0.00024913494809688581,0.000249134948096885813148788927335640138408304498269896193771,0.000249134948096885813148788927335640138408304498269896193772,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
9/2000,0.0045,1/10,3116/4241,0.73473237443999057,0.734732374439990568262202310775760433859938693704315020042442,0.734732374439990568262202310775760433859938693704315020042443,0.73501334123299351,0.735013341232993514196083056887269890827121107071687265332941,0.735013341232993514196083056887269890827121107071687265332942,0.00028096679300294593,0.000280966793002945933880746111509456967182413367372245290498,0.000280966793002945933880746111509456967182413367372245290499,18/289,0.00028027681660899654,0.000280276816608996539792387543252595155709342560553633217993,0.000280276816608996539792387543252595155709342560553633217994,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
1/200,0.005,1/10,623/848,0.73466981132075472,0.734669811320754716981132075471698113207547169811320754716981,0.734669811320754716981132075471698113207547169811320754716982,0.73498208203270050,0.734982082032700496957585162177437286262861472550986964256094,0.734982082032700496957585162177437286262861472550986964256095,0.00031227071194577998,0.000312270711945779976453086705739173055314302739666209539113,0.000312270711945779976453086705739173055314302739666209539114,18/289,0.00031141868512110727,0.000311418685121107266435986159169550173010380622837370242214,0.000311418685121107266435986159169550173010380622837370242215,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
11/2000,0.0055,1/10,346/471,0.73460721868365180,0.734607218683651804670912951167728237791932059447983014861995,0.734607218683651804670912951167728237791932059447983014861996,0.73495081043683545,0.734950810436835452330487342842406867930408234862720329145761,0.734950810436835452330487342842406867930408234862720329145762,0.00034359175318364766,0.000343591753183647659574391674678630138476175414737314283765,0.000343591753183647659574391674678630138476175414737314283766,18/289,0.00034256055363321799,0.000342560553633217993079584775086505190311418685121107266435,0.000342560553633217993079584775086505190311418685121107266436,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
3/500,0.006,1/10,3113/4238,0.73454459650778669,0.734544596507786691835771590372817366682397357243983010854176,0.734544596507786691835771590372817366682397357243983010854177,0.73491952643681422,0.734919526436814219805932047299300913241998347592499960051923,0.734919526436814219805932047299300913241998347592499960051924,0.00037492992902752797,0.000374929929027527970160456926483546559600990348516949197747,0.000374929929027527970160456926483546559600990348516949197748,18/289,0.00037370242214532872,0.000373702422145328719723183391003460207612456747404844290657,0.000373702422145328719723183391003460207612456747404844290658,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
13/2000,0.0065,1/10,3112/4237,0.73448194477224451,0.734481944772244512626858626386594288411611989615293839981118,0.734481944772244512626858626386594288411611989615293839981119,0.73488823002404409,0.734888230024044090628455926611831196124907819383466857900818,0.734888230024044090628455926611831196124907819383466857900819,0.00040628525179957800,0.000406285251799578001597300225236907713295829768173017919699,0.000406285251799578001597300225236907713295829768173017919700,18/289,0.00040484429065743945,0.000404844290657439446366782006920415224913494809688581314878,0.000404844290657439446366782006920415224913494809688581314879,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
7/1000,0.007,1/10,1037/1412,0.73441926345609065,0.734419263456090651558073654390934844192634560906515580736543,0.734419263456090651558073654390934844192634560906515580736544,0.73485692118992380,0.734856921189923796654928236449677806451379730089941922629869,0.734856921189923796654928236449677806451379730089941922629870,0.00043765773383314510,0.000437657733833145096854582058742962258745169183426341893325,0.000437657733833145096854582058742962258745169183426341893326,18/289,0.00043598615916955017,0.000435986159169550173010380622837370242214532871972318339100,0.000435986159169550173010380622837370242214532871972318339101,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
3/400,0.0075,1/10,622/847,0.73435655253837072,0.734356552538370720188902007083825265643447461629279811097992,0.734356552538370720188902007083825265643447461629279811097993,0.73482559992584350,0.734825599925843499195511928107355931448676674638809542441916,0.734825599925843499195511928107355931448676674638809542441917,0.00046904738747277901,0.000469047387472779006609921023530665805229213009529731343923,0.000469047387472779006609921023530665805229213009529731343924,18/289,0.00046712802768166090,0.000467128027681660899653979238754325259515570934256055363321,0.000467128027681660899653979238754325259515570934256055363322,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
1/125,0.008,1/10,3109/4234,0.73429381199811053,0.734293811998110533774208786017949929145016532829475673122342,0.734293811998110533774208786017949929145016532829475673122343,0.73479426622318478,0.734794266223184777836612805539130212329718185047169012285806,0.734794266223184777836612805539130212329718185047169012285807,0.00050045422507424406,0.000500454225074244062404019521180283184701652217693339163463,0.000500454225074244062404019521180283184701652217693339163464,18/289,0.00049826989619377163,0.000498269896193771626297577854671280276816608996539792387543,0.000498269896193771626297577854671280276816608996539792387544,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
17/2000,0.0085,1/10,1036/1411,0.73423104181431609,0.734231041814316087880935506732813607370659107016300496102055,0.734231041814316087880935506732813607370659107016300496102056,0.73476292007332062,0.734762920073320619245782047817349772058116192668125702627881,0.734762920073320619245782047817349772058116192668125702627882,0.00053187825900453136,0.000531878259004531364846541084536164687457085651825206525826,0.000531878259004531364846541084536164687457085651825206525827,18/289,0.00052941176470588235,0.000529411764705882352941176470588235294117647058823529411764,0.000529411764705882352941176470588235294117647058823529411765,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
